m,candidate_idx,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db,file,split,label,gt_m
149.005,466,0.746006,-49.9,-40.406,13.4446,-39.4083,-30.3195,-9.0888,5.2065,-660.6859,1933.3953,2594.0813,0.0,44156.7414,-2496.8668,13.1732,12.2747,0.9318,0.0,30.092,class2_2026_04_27_15_38_41.csv,train,background,
151.558,474,0.758788,-22.114,-22.6698,2.4578,-37.6732,-29.5169,-8.1562,5.4215,3401.5236,-1452.9267,-4854.4503,2264.8887,2967.0878,-10485.895,13.6944,11.2217,0.8194,1.276,8.996,class2_2026_04_27_15_38_41.csv,train,background,
151.877,475,0.760385,-20.973,-23.1951,2.2896,-36.1295,-29.5093,-6.6202,3.4505,5595.0114,-213.9503,-5808.9617,-10485.895,2967.0878,-44250.7884,13.7948,11.2275,0.8139,1.595,7.831,class2_2026_04_27_15_38_41.csv,train,background,
153.472,480,0.76837,-49.9,-32.3433,12.5876,-31.8006,-33.7357,1.9352,3.0105,6451.2915,-195.6665,-6646.958,3148.9013,11184.9561,-13219.4357,12.9249,13.0971,1.0133,0.0,28.487,class2_2026_04_27_15_38_41.csv,train,background,
153.791,481,0.769968,-22.527,-32.5736,12.5396,-31.8006,-35.2564,3.4559,3.8165,3120.245,-697.6938,-3817.9389,268.1524,11184.9561,-13219.4357,12.9249,13.2951,1.0286,0.639,28.487,class2_2026_04_27_15_38_41.csv,train,background,
154.111,482,0.77157,-49.9,-33.0747,12.1682,-30.2798,-33.8449,3.5651,2.734,1933.3953,-3345.2823,-5278.6776,401.5914,3148.9013,-29818.1865,12.3012,13.0111,1.0577,0.0,28.232,class2_2026_04_27_15_38_41.csv,train,background,
155.068,485,0.776361,-30.876,-32.5919,12.5818,-30.3195,-36.4273,6.1078,4.6455,-4702.9504,-3000.4824,1702.4679,37581.5078,37581.5078,-29818.1865,12.2747,13.548,1.1037,0.0,30.031,class2_2026_04_27_15_38_41.csv,train,background,
157.301,492,0.787541,-21.939,-31.4532,13.1383,-29.5267,-39.2703,9.7436,6.1015,638.2094,-1145.7553,-1783.9646,2963.9483,47070.5376,-45554.8621,11.2152,13.3512,1.1905,1.276,30.031,class2_2026_04_27_15_38_41.csv,train,background,
157.62,493,0.789138,-20.836,-34.5543,13.8151,-29.5169,-39.3616,9.8446,6.1015,2146.0236,2538.6591,392.6355,-43826.0235,6393.4185,-45554.8621,11.2217,13.23,1.179,1.276,30.031,class2_2026_04_27_15_38_41.csv,train,background,
158.258,495,0.792332,-49.9,-37.5331,13.8366,-30.6813,-37.953,7.2717,4.3985,2758.1367,4117.7034,1359.5667,-0.0,6393.4185,-2659.8746,12.1554,13.3818,1.1009,0.0,29.064,class2_2026_04_27_15_38_41.csv,train,background,
