m,sample_idx,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db,file,source,event_no_in_file,gt_m,label
169.107,529,0.846648,-49.9,-37.79,13.5537,-34.6502,-40.7943,6.1442,28.469,-2599.6463,-3017.2703,-417.624,-907.5235,41786.837,-43542.3213,13.7364,12.9148,0.9402,0.0,28.469,class1_2026_04_27_14_47_13.csv,hard_negative,2,,background
60.304,188,0.301917,-14.543,-14.6033,0.062,-14.5996,-14.6141,0.0145,0.0765,9.512,8.8568,-0.6551,-122.2571,89.3417,-142.6332,0.1257,0.1034,0.8224,0.638,0.193,class1_2026_04_27_14_47_13.csv,stable_background,3,,background
17.868,55,0.089458,-14.709,-14.9679,0.4815,-14.4788,-17.2936,2.8148,0.6485,-37.9812,-1305.6492,-1267.6679,-1394.9843,4.7022,-1435.7367,0.1051,2.3825,22.6643,0.0,1.243,class2_2026_04_27_16_02_34.csv,manual_annotation,0,17.87,bend
131.457,411,0.65815,-17.382,-17.9319,2.3705,-13.04,-28.5223,15.4823,3.458,-1391.0759,-3958.4905,-2567.4146,-5626.9592,-1884.8425,-5626.9592,3.0448,13.2883,4.3643,0.0,7.543,class2_2026_04_27_16_02_34.csv,manual_annotation,1,131.46,break
127.947,400,0.640577,-8.6,-10.5283,1.9834,-15.5025,-17.8344,2.3319,8.459,1654.6012,-2645.7832,-4300.3843,-1982.7586,9427.8997,-3258.6207,2.7968,8.6145,3.0801,2.871,6.769,class2_2026_04_27_16_02_34.csv,manual_annotation,2,127.95,connector
81.044,253,0.405754,-17.1,-16.6746,0.2397,-16.6745,-16.6581,-0.0164,0.286,26.4481,-26.226,-52.6741,844.826,844.826,-310.3448,0.2526,0.2,0.7916,0.0,0.749,class2_2026_04_27_16_02_34.csv,hard_negative,0,,background
31.907,99,0.159745,-16.894,-16.6038,0.2977,-16.2909,-16.5528,0.2618,0.097,-87.9733,38.5696,126.5429,-694.3558,315.047,-694.3558,0.242,0.2471,1.021,0.0,0.985,class2_2026_04_27_16_02_34.csv,hard_negative,1,,background
190.484,596,0.953674,-49.9,-41.1027,12.5402,-37.9541,-34.7694,-3.1847,18.4935,-3342.0918,-1604.3644,1737.7274,0.0,35347.9655,-44017.2461,13.4534,13.664,1.0157,0.0,28.541,class2_2026_04_27_16_02_34.csv,hard_negative,2,,background
186.975,585,0.936106,-49.9,-31.9878,12.7057,-37.1972,-36.3178,-0.8793,28.764,2007.7245,-720.1094,-2727.834,-45084.6426,44908.3814,-45084.6426,14.2486,13.6544,0.9583,0.0,28.764,class2_2026_04_27_16_02_34.csv,hard_negative,3,,background
102.102,319,0.511182,-16.649,-16.8488,0.3419,-16.6499,-16.8772,0.2273,0.189,-87.6088,37.1642,124.7729,-156.7398,391.8495,-1423.1959,0.2379,0.2723,1.1449,0.0,1.036,class2_2026_04_27_16_02_34.csv,stable_background,4,,background
61.58,192,0.308305,-16.656,-16.5734,0.1762,-16.6816,-16.6883,0.0067,0.435,-6.3375,-78.2924,-71.9549,-36.0486,169.279,-877.7414,0.2593,0.3137,1.2097,0.0,0.56,class2_2026_04_27_16_02_34.csv,stable_background,5,,background
62.857,196,0.314699,-15.605,-15.4453,0.7261,-14.622,-16.4397,1.8177,1.005,-44.3094,-157.4234,-113.114,-815.047,-97.6859,-1021.9436,0.1688,0.3089,1.8302,0.0,1.909,class2_2026_04_27_15_53_51.csv,manual_annotation,0,62.86,bend
127.628,399,0.63898,-7.936,-10.8106,2.8511,-15.9179,-15.6024,-0.3155,8.71,1094.7859,-2695.5862,-3790.3722,595.6113,9920.0627,-2780.5643,2.2408,4.456,1.9885,2.871,8.627,class2_2026_04_27_15_53_51.csv,manual_annotation,1,127.63,connector
131.776,412,0.659748,-19.23,-18.6821,2.2353,-12.9162,-26.4189,13.5027,3.2735,-2116.8413,-2698.427,-581.5857,-3982.7586,-2338.2812,-4658.3072,3.2391,10.5875,3.2687,0.0,6.911,class2_2026_04_27_15_53_51.csv,manual_annotation,2,131.78,break
188.251,589,0.942494,-49.9,-34.6921,13.8159,-35.093,-33.5148,-1.5782,6.6975,-995.8562,1202.6519,2198.5081,-10893.4185,44369.9107,-46810.348,13.3823,13.244,0.9897,0.0,29.865,class2_2026_04_27_15_53_51.csv,hard_negative,0,,background
