m,sample_idx,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db,file,event_no_in_file,gt_m,label,expected_length_m
127.628,399,0.63898,-5.898,-8.7903,2.8875,-13.9533,-13.4549,-0.4984,8.902,1156.6403,-2634.4269,-3791.0672,609.7179,9626.9592,-2755.4859,2.2671,4.3708,1.9279,2.871,8.918,class1_2026_04_27_14_46_27.csv,1,127.63,connector,199.737
127.628,399,0.63898,-5.902,-8.8209,2.9396,-13.9658,-13.3902,-0.5757,8.874,1147.1171,-2689.3067,-3836.4238,611.2853,9697.1118,-2761.7555,2.2734,4.2548,1.8716,2.871,9.146,class1_2026_04_27_14_47_13.csv,0,127.63,connector,199.737
132.095,413,0.661345,-17.951,-17.1071,1.9484,-10.9467,-30.048,19.1013,3.407,-2460.0928,-4580.4301,-2120.3373,-2159.8715,-2159.8715,-3131.663,3.3452,13.081,3.9104,0.0,6.094,class1_2026_04_27_14_47_13.csv,1,132.09,break,199.737
17.868,55,0.089458,-14.709,-14.9679,0.4815,-14.4788,-17.2936,2.8148,0.6485,-37.9812,-1305.6492,-1267.6679,-1394.9843,4.7022,-1435.7367,0.1051,2.3825,22.6643,0.0,1.243,class2_2026_04_27_16_02_34.csv,0,17.87,bend,199.737
131.457,411,0.65815,-17.382,-17.9319,2.3705,-13.04,-28.5223,15.4823,3.458,-1391.0759,-3958.4905,-2567.4146,-5626.9592,-1884.8425,-5626.9592,3.0448,13.2883,4.3643,0.0,7.543,class2_2026_04_27_16_02_34.csv,1,131.46,break,199.737
127.947,400,0.640577,-8.6,-10.5283,1.9834,-15.5025,-17.8344,2.3319,8.459,1654.6012,-2645.7832,-4300.3843,-1982.7586,9427.8997,-3258.6207,2.7968,8.6145,3.0801,2.871,6.769,class2_2026_04_27_16_02_34.csv,2,127.95,connector,199.737
62.857,196,0.314699,-15.605,-15.4453,0.7261,-14.622,-16.4397,1.8177,1.005,-44.3094,-157.4234,-113.114,-815.047,-97.6859,-1021.9436,0.1688,0.3089,1.8302,0.0,1.909,class2_2026_04_27_15_53_51.csv,0,62.86,bend,199.737
127.628,399,0.63898,-7.936,-10.8106,2.8511,-15.9179,-15.6024,-0.3155,8.71,1094.7859,-2695.5862,-3790.3722,595.6113,9920.0627,-2780.5643,2.2408,4.456,1.9885,2.871,8.627,class2_2026_04_27_15_53_51.csv,1,127.63,connector,199.737
131.776,412,0.659748,-19.23,-18.6821,2.2353,-12.9162,-26.4189,13.5027,3.2735,-2116.8413,-2698.427,-581.5857,-3982.7586,-2338.2812,-4658.3072,3.2391,10.5875,3.2687,0.0,6.911,class2_2026_04_27_15_53_51.csv,2,131.78,break,199.737
48.499,151,0.242814,-15.691,-15.4248,0.7276,-14.6458,-16.4941,1.8483,1.017,-14.3081,-175.3053,-160.9972,-1046.1869,285.2665,-1046.1869,0.1482,0.3321,2.2405,0.0,1.843,class2_2026_04_27_15_46_57.csv,0,48.5,bend,199.737
131.457,411,0.65815,-17.519,-17.8316,2.3328,-12.9319,-30.8281,17.8962,3.795,-1435.5409,-2653.2361,-1217.6953,-2982.7586,-1843.3651,-4244.5141,3.1704,13.5723,4.281,0.0,7.615,class2_2026_04_27_15_46_57.csv,1,131.46,break,199.737
127.628,399,0.63898,-7.988,-10.9044,2.9255,-15.9974,-15.4738,-0.5237,8.6705,1147.3412,-2674.3448,-3821.686,584.6395,9717.3248,-2708.4639,2.2661,4.1955,1.8514,2.871,9.187,class2_2026_04_27_15_46_57.csv,2,127.63,connector,199.737
109.441,342,0.547926,-16.352,-15.8391,0.7986,-14.7989,-16.9049,2.106,0.9275,-89.9604,-156.9583,-66.9979,-503.1348,-65.1892,-2006.2696,0.2254,0.4131,1.8328,0.0,2.368,class2_2026_04_27_15_22_54.csv,0,109.44,bend,199.737
131.138,410,0.656553,-16.633,-16.7369,1.8905,-12.9927,-35.1169,22.1242,3.9775,-646.435,-8089.1785,-7442.7435,-1784.549,-1784.549,-2847.9655,3.2199,14.8591,4.6147,0.0,5.817,class2_2026_04_27_15_22_54.csv,1,131.14,break,199.737
127.628,399,0.63898,-8.024,-10.9418,2.9327,-16.0554,-15.5485,-0.5069,8.728,1180.813,-2524.1355,-3704.9485,521.9436,9805.6426,-2692.79,2.2833,4.4116,1.9321,2.871,9.07,class2_2026_04_27_15_22_54.csv,2,127.63,connector,199.737
127.628,399,0.63898,-5.943,-8.8526,2.9263,-13.9783,-13.5824,-0.3959,8.8475,1163.7257,-2702.2292,-3865.9549,573.6677,9640.9008,-2741.3793,2.2686,4.5122,1.989,2.871,9.097,class1_2026_04_27_14_37_39.csv,0,127.63,connector,199.737
132.414,414,0.662942,-19.387,-21.4482,10.2791,-11.0659,-35.6418,24.5759,3.2315,-2562.5442,-4528.6946,-1966.1504,-2606.5831,-2291.5361,-44380.8824,3.4643,14.2941,4.1262,0.0,35.227,class1_2026_04_27_14_37_39.csv,1,132.41,break,199.737
35.417,110,0.177318,-9.398,-11.4871,2.0165,-14.2605,-14.2608,0.0003,5.4385,387.656,-1801.8583,-2189.5143,2727.2727,6114.4201,-2446.7085,0.8819,2.6161,2.9664,2.233,5.482,class3_2026_04_27_16_17_30.csv,0,35.42,connector,199.737
37.969,118,0.190095,-14.285,-14.0284,1.5744,-12.7373,-16.7335,3.9962,3.431,681.2663,-462.6346,-1143.9009,-1601.8809,-1601.8809,-1893.4169,1.9941,0.7512,0.3767,0.0,4.677,class3_2026_04_27_16_17_30.csv,1,37.97,bend,199.737
130.818,409,0.654951,-17.019,-17.3558,2.6943,-13.7461,-36.9449,23.1988,4.619,16.9643,-4339.0509,-4356.0152,-3132.2462,-2062.6959,-46658.3103,3.1246,14.519,4.6467,0.0,8.638,class3_2026_04_27_16_17_30.csv,2,130.82,break,199.737
127.947,400,0.640577,-9.229,-11.1578,1.9576,-16.0607,-23.4987,7.438,8.274,1561.2761,-6955.8056,-8517.0817,-1993.7304,9289.9687,-3304.0752,2.766,14.5118,5.2465,2.871,6.672,class3_2026_04_27_16_17_30.csv,3,127.95,connector,199.737
47.86,149,0.239615,-15.168,-15.4619,0.7685,-14.6401,-16.6352,1.9952,0.941,-64.7754,-193.2085,-128.4331,-805.6426,512.5392,-1748.6842,0.1625,0.3768,2.3183,0.0,2.315,class2_2026_04_27_15_46_27.csv,0,47.86,bend,199.737
131.138,410,0.656553,-16.726,-17.3137,2.8352,-13.1185,-27.4653,14.3468,4.2755,-458.7497,-1161.8784,-703.1287,-2816.4116,-1963.9498,-5730.4075,3.2071,12.0738,3.7648,0.0,8.608,class2_2026_04_27_15_46_27.csv,1,131.14,break,199.737
127.628,399,0.63898,-8.16,-11.2161,3.174,-16.3683,-15.7406,-0.6277,8.7875,1151.8883,-2893.1563,-4045.0446,625.3918,10885.9779,-2753.9185,2.3296,4.4253,1.8996,2.871,9.929,class2_2026_04_27_15_46_27.csv,2,127.63,connector,199.737
100.826,315,0.504794,-17.814,-18.9876,3.4674,-12.9177,-36.1466,23.2289,3.9305,-1662.305,-7306.2616,-5643.9566,-3526.6458,-1036.0486,-10424.7665,2.7238,13.9173,5.1096,0.0,12.624,class3_2026_05_14_14_33_56.csv,0,100.83,break,199.737
96.997,303,0.485624,-8.493,-10.8574,1.9481,-14.0358,-16.3276,2.2918,6.1375,711.0644,-2638.9493,-3350.0138,249.2163,7098.7461,-2789.9687,1.4596,4.6974,3.2183,2.552,5.969,class3_2026_05_14_14_33_56.csv,1,97.0,connector,199.737
46.265,144,0.23163,-15.788,-15.8903,1.1597,-14.6711,-17.5999,2.9288,1.4635,-32.7037,-208.0705,-175.3668,-1572.1003,203.7618,-1764.8887,0.2067,0.5448,2.6351,0.0,3.296,class2_2026_04_27_15_46_14.csv,0,46.27,bend,199.737
127.628,399,0.63898,-9.066,-12.0173,2.9927,-17.2254,-18.0122,0.7868,8.862,1048.9317,-4774.6039,-5823.5357,586.2069,10214.956,-2777.4295,2.3435,8.6982,3.7116,2.871,9.488,class2_2026_04_27_15_46_14.csv,1,127.63,connector,199.737
131.457,411,0.65815,-18.456,-21.6596,10.1594,-14.0338,-32.9808,18.947,3.603,-1370.3453,-4139.6305,-2769.2853,-2231.9749,-1921.3206,-48694.3605,3.226,13.573,4.2073,0.0,34.726,class2_2026_04_27_15_46_14.csv,2,131.46,break,199.737
131.776,412,0.659748,-17.185,-16.5176,2.1079,-10.882,-24.5271,13.6451,3.0965,-2086.1546,-2169.0347,-82.8801,-2559.5627,-1870.4371,-3688.0862,3.1771,9.3102,2.9304,0.0,6.266,class1_2026_04_27_14_37_34.csv,0,131.78,break,199.737
127.628,399,0.63898,-5.95,-8.8183,2.8346,-13.9234,-13.5765,-0.3469,8.8095,1157.7781,-2659.7206,-3817.4987,597.1787,9498.4326,-2768.0251,2.2475,4.433,1.9724,2.871,8.764,class1_2026_04_27_14_37_34.csv,1,127.63,connector,199.737
34.14,106,0.170925,-14.724,-14.9187,0.4203,-14.5277,-15.9032,1.3755,0.304,-50.0362,-296.104,-246.0678,-283.6991,172.4138,-943.2135,0.1073,0.4574,4.2616,0.0,1.279,class2_2026_04_27_16_06_47.csv,0,34.14,bend,199.737
127.947,400,0.640577,-8.216,-10.1384,1.9805,-15.2297,-16.2456,1.0159,8.6395,1680.428,-2987.6278,-4668.0558,-2043.8871,9384.0125,-3224.1379,2.8492,4.3929,1.5418,2.871,6.759,class2_2026_04_27_16_06_47.csv,1,127.95,connector,199.737
131.457,411,0.65815,-17.612,-18.0264,2.9788,-12.6674,-29.6304,16.9631,3.41,-1401.0405,-4278.7377,-2877.6972,-2183.384,-2183.384,-7669.2821,3.0727,12.66,4.1201,0.0,8.915,class2_2026_04_27_16_06_47.csv,2,131.46,break,199.737
19.782,61,0.09904,-14.509,-15.115,0.8654,-14.4861,-18.7546,4.2686,0.38,-6.7302,387.9255,394.6557,-628.5266,405.9561,-2691.1744,0.0975,7.6818,78.7822,1.276,2.317,class2_2026_04_27_16_04_37.csv,0,19.78,bend,199.737
127.628,399,0.63898,-8.356,-11.1856,2.7935,-16.1216,-16.7794,0.6578,8.44,1158.0458,-2985.1692,-4143.215,531.348,9258.6207,-2728.8401,2.1936,5.7235,2.6092,2.871,8.694,class2_2026_04_27_16_04_37.csv,1,127.63,connector,199.737
130.818,409,0.654951,-16.508,-16.522,2.2113,-13.2259,-29.8898,16.6639,4.3515,72.7055,-3529.9934,-3602.6989,-3751.486,-2346.395,-9313.4781,3.0985,12.7324,4.1092,0.0,6.916,class2_2026_04_27_16_04_37.csv,2,130.82,break,199.737
131.776,412,0.659748,-16.815,-16.6371,2.2479,-10.8828,-28.8411,17.9583,3.396,-2101.015,-2879.3171,-778.3021,-3025.0784,-2379.9064,-47951.4154,3.2101,13.1365,4.0922,0.0,6.766,class1_2026_04_27_14_39_17.csv,0,131.78,break,199.737
127.628,399,0.63898,-5.933,-8.8182,2.8907,-13.9408,-15.2171,1.2763,8.8895,1141.544,-2715.61,-3857.154,565.8307,9590.117,-2731.9749,2.2685,9.3633,4.1276,2.871,9.028,class1_2026_04_27_14_39_17.csv,1,127.63,connector,199.737
42.755,133,0.214056,-15.356,-15.5357,0.7845,-14.6909,-16.7994,2.1086,0.835,-53.3059,-181.806,-128.5001,-1548.5893,131.6614,-1548.5893,0.1445,0.3564,2.4669,0.0,2.064,class2_2026_04_27_15_41_42.csv,0,42.76,bend,199.737
131.457,411,0.65815,-18.896,-18.2331,2.4438,-13.1926,-29.9191,16.7266,4.0025,-1342.3846,1046.1869,2388.5714,-5120.6897,-1660.2166,-45178.6865,3.0904,12.6262,4.0856,0.0,7.287,class2_2026_04_27_15_41_42.csv,1,131.46,break,199.737
127.628,399,0.63898,-8.323,-11.247,2.9232,-16.3628,-19.0434,2.6806,8.7455,1121.1246,-2757.6745,-3878.7992,647.3354,9574.6912,-2783.6991,2.2783,11.565,5.0761,2.871,9.109,class2_2026_04_27_15_41_42.csv,2,127.63,connector,199.737
66.366,207,0.332267,-10.792,-12.6312,1.2837,-14.3198,-21.0744,6.7547,3.9275,434.5106,-4331.5425,-4766.0531,-228.8401,4628.5266,-2954.5455,0.8922,10.7603,12.0609,1.915,3.893,class3_2026_05_14_13_10_59.csv,0,66.37,connector,199.737
68.6,214,0.343452,-16.521,-16.4656,2.1922,-13.7254,-31.9148,18.1893,3.7795,200.0032,-8421.9028,-8621.9059,-3039.185,-2153.605,-3039.185,1.4444,14.4232,9.9853,0.0,6.644,class3_2026_05_14_13_10_59.csv,1,68.6,break,199.737
133.052,416,0.666136,-19.774,-22.025,9.9666,-11.6674,-31.3219,19.6545,2.625,-2539.1521,-1271.1485,1268.0036,-2808.7774,-905.9545,-47974.9248,4.05,13.2554,3.2729,0.0,33.993,class3_2026_05_14_13_47_50.csv,0,133.05,break,199.737
68.919,215,0.345049,-15.707,-15.7782,1.6402,-13.2427,-18.8741,5.6314,3.013,107.2543,-374.3754,-481.6297,-2078.3683,-1421.6301,-2376.1755,1.7044,1.313,0.7704,0.0,4.936,class3_2026_05_14_13_47_50.csv,1,68.92,bend,199.737
35.736,111,0.178915,-10.863,-12.4121,1.1554,-14.1403,-13.8087,-0.3316,3.506,416.1325,-622.2957,-1038.4282,-289.9687,4357.3668,-1873.0408,0.8701,0.9467,1.088,2.233,3.615,class3_2026_05_14_13_47_50.csv,2,35.74,connector,199.737
66.366,207,0.332267,-9.907,-11.9507,1.5224,-14.1114,-16.1071,1.9957,4.669,540.0412,-2005.7648,-2545.806,-115.9875,5625.3918,-2633.2524,1.0913,2.8463,2.6081,2.234,4.589,class3_2026_05_14_13_47_50.csv,3,66.37,connector,199.737
127.628,399,0.63898,-5.733,-9.1213,3.9027,-18.3552,-13.1732,-5.1819,12.0015,2483.202,-2609.093,-5092.295,518.8088,15082.8911,-2783.6991,4.292,4.2203,0.9833,3.509,12.624,class3_2026_05_14_13_47_50.csv,4,127.63,connector,199.737
131.776,412,0.659748,-16.75,-16.3762,2.1565,-10.8171,-32.2039,21.3869,3.0835,-2060.0713,-6427.6656,-4367.5943,-2587.7743,-1904.8367,-3721.0,3.1678,14.3298,4.5236,0.0,6.69,class1_2026_04_27_14_47_43.csv,0,131.78,break,199.737
127.628,399,0.63898,-5.899,-8.7711,2.8531,-13.8958,-13.4823,-0.4135,8.799,1165.6704,-2616.7156,-3782.3861,630.094,9496.8652,-2791.5361,2.2483,4.4356,1.9728,2.871,8.823,class1_2026_04_27_14_47_43.csv,1,127.63,connector,199.737
79.767,249,0.39936,-15.344,-15.5046,0.7848,-14.7531,-16.5317,1.7786,1.029,16.9631,-120.1852,-137.1484,-1501.5674,286.8339,-1501.5674,0.133,0.2465,1.8528,0.0,2.273,class2_2026_04_27_15_36_21.csv,0,79.77,bend,199.737
131.457,411,0.65815,-17.744,-17.792,2.3636,-12.7918,-31.1509,18.3592,3.977,-1392.1969,-2612.5172,-1220.3203,-5600.3135,-2440.4389,-5600.3135,3.1342,13.4468,4.2904,0.0,6.895,class2_2026_04_27_15_36_21.csv,1,131.46,break,199.737
127.628,399,0.63898,-7.897,-10.7837,2.8864,-15.9843,-17.1064,1.1221,8.729,1242.331,-2812.3787,-4054.7097,694.3574,9634.7962,-2816.6144,2.2954,8.9786,3.9115,2.871,8.889,class2_2026_04_27_15_36_21.csv,2,127.63,connector,199.737
13.082,40,0.065496,-19.038,-19.0852,2.1132,-13.1443,-27.9705,14.8262,1.564,-2009.7412,-37.0703,1972.6709,-329.1552,288.4013,-7681.8166,3.6139,11.8537,3.28,0.0,7.289,class3_2026_05_14_14_33_25.csv,0,13.08,break,199.737
4.786,14,0.023962,-1.355,-3.4151,1.9728,-3.9888,-7.9007,3.9119,4.482,-200.9424,-2630.7111,-2429.7687,3139.4984,6905.9561,-2570.5329,2.3602,4.2753,1.8114,1.914,5.52,class3_2026_05_14_14_33_25.csv,1,4.79,connector,199.737
89.339,279,0.447283,-15.906,-15.5868,0.5145,-14.7565,-16.4936,1.7371,0.947,-127.4021,-250.0738,-122.6717,-504.7022,-482.7586,-699.0611,0.2397,0.3784,1.5783,0.0,1.645,class2_2026_04_27_15_31_49.csv,0,89.34,bend,199.737
127.628,399,0.63898,-7.936,-10.8086,2.8392,-15.9568,-15.5886,-0.3682,8.82,1194.8447,-2850.5926,-4045.4373,606.5831,9584.6395,-2793.1034,2.2571,4.4847,1.9869,2.871,8.733,class2_2026_04_27_15_31_49.csv,1,127.63,connector,199.737
131.776,412,0.659748,-18.286,-18.7679,2.5542,-12.8663,-33.1172,20.2509,3.043,-2099.4296,-6429.5204,-4330.0908,-2304.0752,-2098.112,-7407.5235,3.1692,13.5039,4.2609,0.0,7.706,class2_2026_04_27_15_31_49.csv,2,131.78,break,199.737
112.951,353,0.565499,-15.737,-15.7638,0.8766,-14.7903,-17.116,2.3257,1.1855,-53.6162,-192.5258,-138.9096,-1389.2137,1.5674,-1498.4342,0.1867,0.3744,2.006,0.0,2.313,class2_2026_04_27_15_20_26.csv,0,112.95,bend,199.737
131.776,412,0.659748,-18.861,-18.6264,1.8678,-13.319,-26.9235,13.6045,2.813,-2103.7641,-4060.9134,-1957.1493,-2573.6677,-2402.4647,-3021.942,3.2128,10.5594,3.2866,0.0,5.828,class2_2026_04_27_15_20_26.csv,1,131.78,break,199.737
127.947,400,0.640577,-8.74,-10.6938,2.0041,-15.8214,-16.5975,0.7761,8.6865,1653.3219,-2562.7285,-4216.0504,-1949.8433,9525.0784,-3189.6552,2.8697,4.169,1.4527,2.871,6.837,class2_2026_04_27_15_20_26.csv,2,127.95,connector,199.737
